name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
Hero Achiever 150,29900,2016,Individual,1st owner,55000.0,69750.0
Bajaj Discover 125,25000,2011,Individual,1st owner,57000.0,60122.0
Yamaha FZ16,30000,2009,Individual,2nd owner,26000.0,78712.0
Yamaha Saluto,60000,2018,Individual,1st owner,13000.0,59844.0
Yamaha FZ16,35000,2012,Individual,2nd owner,29000.0,78712.0
Bajaj Discover 100,25000,2010,Individual,1st owner,43000.0,42859.0
Honda CB Trigger,30000,2015,Individual,1st owner,40000.0,73413.0
Royal Enfield Electra 5 S,90000,2010,Individual,2nd owner,40000.0,
Hero Splendor PRO,35000,2015,Individual,2nd owner,24000.0,49900.0
Honda Activa 5G,70000,2019,Individual,1st owner,3000.0,59422.0
Hero Honda Passion Plus,25000,2006,Individual,1st owner,75000.0,
Bajaj Pulsar 150,25000,2010,Individual,1st owner,42000.0,
Royal Enfield Bullet 350,90000,2014,Individual,1st owner,13000.0,
Bajaj Discover 125,25000,2013,Individual,1st owner,55000.0,57549.0
Bajaj Pulsar 150 [2001-2011],42000,2011,Individual,1st owner,23000.0,
Hero Splendor PRO,35000,2015,Individual,2nd owner,24000.0,51994.0
Hero Xtreme Sports,50000,2014,Individual,1st owner,80000.0,80350.0
Honda Activa 3G,30000,2015,Individual,1st owner,39000.0,54605.0
Yamaha FZ16,48000,2016,Individual,1st owner,20000.0,78712.0
Honda CB Hornet 160R,65000,2016,Individual,1st owner,30000.0,88161.0
Royal Enfield Thunderbird 350,85000,2013,Individual,1st owner,21000.0,
Hero Hunk,45000,2014,Individual,1st owner,41000.0,78513.0
Suzuki Let''s,34000,2014,Individual,1st owner,8000.0,50098.0
Royal Enfield Electra 4 S,90000,2008,Individual,1st owner,50000.0,
TVS Scooty Pep Plus,35000,2012,Individual,1st owner,8150.0,
Mahindra Mojo XT300,165000,2017,Individual,1st owner,1933.0,195500.0
TVS Apache RTR 160,35000,2013,Individual,1st owner,55750.0,
Bajaj Pulsar AS200,65000,2015,Individual,1st owner,15856.0,92074.0
Bajaj Pulsar 150,29500,2013,Individual,1st owner,27000.0,
Royal Enfield Thunderbird 350X,165000,2019,Individual,1st owner,3700.0,164004.0
Suzuki Intruder 150,95000,2018,Individual,1st owner,21938.0,
Hero Honda Karizma ZMR [2010],50000,2010,Individual,1st owner,48000.0,
Honda Dio,7500,2009,Individual,2nd owner,16000.0,
Bajaj Xcd,25000,2008,Individual,1st owner,54000.0,
Hero Splendor Plus,35000,2014,Individual,2nd owner,35000.0,
Royal Enfield Thunderbird 350X,160000,2018,Individual,1st owner,15000.0,
Honda CB Unicorn 150,50000,2014,Individual,1st owner,32000.0,74295.0
Honda Activa 5G,62000,2019,Individual,1st owner,3500.0,57557.0
Honda CB Twister,30000,2013,Individual,1st owner,9000.0,53857.0
Hero Splendor PRO,28000,2015,Individual,1st owner,38000.0,49642.0
Hero Honda CD Deluxe,25000,2009,Individual,1st owner,50000.0,
Honda Activa i [2016-2017],30000,2015,Individual,2nd owner,20000.0,51112.0
Royal Enfield Classic Gunmetal Grey,140000,2018,Individual,1st owner,22000.0,148114.0
TVS Scooty Zest 110,30000,2017,Individual,1st owner,9432.0,53751.0
Hero CD Deluxe,25000,2014,Individual,1st owner,70000.0,
Suzuki Access 125 [2007-2016],22000,2010,Individual,2nd owner,43000.0,58314.0
Honda Activa [2000-2015],22989,2012,Individual,1st owner,500000.0,50267.0
Honda Activa 125 [2016-2017],42000,2016,Individual,1st owner,30514.0,61653.0
Suzuki GS150R,30000,2010,Individual,1st owner,130000.0,70851.0
Bajaj Pulsar 220S,55000,2015,Individual,1st owner,45000.0,
Honda Activa 4G,45000,2018,Individual,1st owner,25000.0,53079.0
Yamaha FZ25,150000,2019,Individual,1st owner,2500.0,133680.0
Bajaj Pulsar 150,42000,2015,Individual,1st owner,22770.0,
Hero Splendor Plus,30000,2015,Individual,1st owner,30000.0,
Bajaj Discover 100,24999,2012,Individual,2nd owner,35000.0,42859.0
Royal Enfield Thunderbird 350X,160000,2019,Individual,1st owner,6330.0,
Royal Enfield Classic 350,175000,2020,Individual,1st owner,500.0,
Bajaj Pulsar 150,40000,2013,Individual,1st owner,43400.0,
Bajaj Pulsar NS160,85000,2018,Individual,1st owner,7004.0,
Royal Enfield Classic Desert Storm,150000,2017,Individual,1st owner,16500.0,181445.0
Suzuki Gixxer SF,80000,2018,Individual,1st owner,12500.0,
TVS Apache RTR 200 4V,95000,2018,Individual,1st owner,9600.0,
Bajaj V15,42000,2016,Individual,1st owner,35000.0,65626.0
TVS XL 100 Heavy Duty,40000,2019,Individual,1st owner,11000.0,
Yamaha FZ S V 2.0,50000,2015,Individual,1st owner,20000.0,84042.0
Hero HF Deluxe,40000,2018,Individual,1st owner,13000.0,
Aprilia SR 125,75000,2019,Individual,1st owner,3500.0,
Yamaha FZ25,120000,2017,Individual,1st owner,9000.0,132680.0
Hero Honda Glamour,30000,2008,Individual,1st owner,7500.0,
Bajaj Discover 125 ST,17500,2013,Individual,1st owner,38000.0,58438.0
Hero Honda Passion Plus,7500,2004,Individual,1st owner,120000.0,
Honda Aviator,57000,2018,Individual,1st owner,6465.0,61118.0
Vespa SXL 149,80000,2018,Individual,1st owner,18803.0,
TVS Scooty Pep Plus,18000,2010,Individual,1st owner,20000.0,
Hero Xtreme [2013-2014],25000,2013,Individual,1st owner,24000.0,75936.0
Royal Enfield Thunderbird 350,83900,2014,Individual,2nd owner,22000.0,
UM Renegade Commando,160000,2018,Individual,1st owner,7000.0,180525.0
Royal Enfield Classic Gunmetal Grey,135000,2018,Individual,1st owner,6100.0,148114.0
Honda CB Hornet 160R,55000,2017,Individual,1st owner,14000.0,87543.0
Honda Shine,50000,2017,Individual,1st owner,23000.0,
Bajaj Discover 100,20000,2012,Individual,1st owner,85000.0,42859.0
Hero Honda CBZ extreme,25000,2010,Individual,1st owner,40000.0,
Royal Enfield Classic 350,125000,2017,Individual,1st owner,18000.0,
Honda Activa 5G,55000,2019,Individual,1st owner,10000.0,57557.0
Bajaj Avenger Street 150 [2018],50000,2016,Individual,1st owner,40000.0,80435.0
Royal Enfield Continental GT 650,299000,2019,Individual,1st owner,1500.0,
Honda Activa 3G,60000,2015,Individual,1st owner,30000.0,54605.0
Honda Activa 3G,40000,2015,Individual,1st owner,3000.0,54605.0
Bajaj Pulsar 180,15000,2008,Individual,1st owner,55000.0,85011.0
Harley-Davidson Street Bob,750000,2013,Individual,2nd owner,12000.0,1278000.0
Hero Honda CBZ extreme,20000,2007,Individual,1st owner,90000.0,
Royal Enfield Classic Gunmetal Grey,190000,2020,Individual,1st owner,500.0,155740.0
KTM 390 Duke ABS [2013-2016],130000,2015,Individual,1st owner,50000.0,202127.0
Honda CB Hornet 160R,54786,2016,Individual,1st owner,25000.0,88161.0
KTM 200 Duke,72000,2013,Individual,1st owner,36500.0,
Hero Karizma 2014,35000,2013,Individual,1st owner,26000.0,86744.0
Hero Glamour 125,45000,2017,Individual,1st owner,18000.0,61600.0
Royal Enfield Classic 350,85000,2013,Individual,1st owner,49000.0,
Royal Enfield Classic 500,100000,2013,Individual,1st owner,18000.0,156304.0
Bajaj Dominar 400,138000,2017,Individual,1st owner,15000.0,
Royal Enfield Thunderbird 350X,150000,2018,Individual,1st owner,8500.0,
KTM RC 390,180000,2017,Individual,1st owner,3775.0,
Royal Enfield Thunderbird 350,100000,2015,Individual,1st owner,14500.0,
Hero Hunk,20000,2010,Individual,1st owner,35000.0,78513.0
KTM 390 Duke,170000,2017,Individual,1st owner,14000.0,
Suzuki Gixxer [2014-2018],60000,2016,Individual,1st owner,16000.0,84246.0
Royal Enfield Bullet 350,123000,2016,Individual,1st owner,7000.0,
Suzuki Access 125,60000,2017,Individual,1st owner,4000.0,
TVS Apache RTR 200 4V,100000,2017,Individual,1st owner,45000.0,
Hero Xtreme Sports,22000,2014,Individual,1st owner,99000.0,78350.0
Honda Activa [2000-2015],30000,2014,Individual,1st owner,52000.0,50267.0
Bajaj Discover 125,28000,2013,Individual,1st owner,45000.0,60122.0
Bajaj Pulsar 150,50000,2007,Individual,1st owner,52000.0,
Yamaha Saluto RX,40000,2017,Individual,1st owner,27000.0,49521.0
Hero HF Deluxe,43000,2018,Individual,1st owner,60000.0,
Suzuki Access 125,40000,2015,Individual,1st owner,2300.0,
Royal Enfield Classic Desert Storm,100000,2012,Individual,1st owner,15000.0,181445.0
Hero HF Deluxe,30000,2016,Individual,1st owner,50000.0,
KTM RC 200,130000,2017,Individual,1st owner,27000.0,
Honda CB Hornet 160R,48000,2016,Individual,2nd owner,25000.0,88161.0
Bajaj CT 100,32000,2017,Individual,1st owner,40000.0,
Hero Honda Pleasure,23000,2010,Individual,1st owner,32000.0,
Bajaj Pulsar 135 LS,20000,2010,Individual,2nd owner,50000.0,64589.0
Royal Enfield Classic 350,125000,2017,Individual,1st owner,36000.0,
Honda Navi [2016-2017],23000,2016,Individual,1st owner,17450.0,44389.0
Bajaj Discover 125,15000,2011,Individual,1st owner,32000.0,57549.0
Yamaha SZ RR V 2.0,35000,2015,Individual,1st owner,38000.0,69983.0
Bajaj Discover 150,25000,2014,Individual,2nd owner,71000.0,54299.0
Bajaj Pulsar 150,80000,2019,Individual,1st owner,8000.0,
TVS Flame,15000,2010,Individual,1st owner,12000.0,
Vespa VX 125,45000,2013,Individual,2nd owner,50000.0,72303.0
Yamaha SZ X,25000,2012,Individual,2nd owner,30000.0,65800.0
Honda CBF Stunner,35000,2013,Individual,1st owner,15888.0,58757.0
Bajaj Discover 100 T,25000,2013,Individual,1st owner,26000.0,47032.0
Royal Enfield Classic 350,170000,2018,Individual,1st owner,5600.0,
Honda Activa [2000-2015],25000,2014,Individual,1st owner,41000.0,50267.0
Royal Enfield Electra 5 S,60000,2007,Individual,2nd owner,19612.0,
Bajaj Pulsar 150,41000,2012,Individual,1st owner,17000.0,
Honda Shine,35000,2012,Individual,1st owner,33700.0,
Honda CB Unicorn 160,75000,2015,Individual,1st owner,100000.0,79233.0
Honda Activa 3G,47999,2016,Individual,1st owner,6000.0,54605.0
Honda Shine,36999,2011,Individual,1st owner,21000.0,
Bajaj Pulsar 180,25000,2007,Individual,1st owner,80000.0,85011.0
Suzuki Gixxer SF,60000,2016,Individual,1st owner,15000.0,
Honda CB Unicorn 150,50000,2007,Individual,1st owner,46000.0,74295.0
Yamaha YZF R15 [2011-2018],65000,2013,Individual,1st owner,11000.0,118997.0
TVS Sport,12000,2007,Individual,1st owner,72000.0,
Bajaj Pulsar AS200,60000,2015,Individual,1st owner,50000.0,92074.0
Honda Activa [2000-2015],20000,2010,Individual,1st owner,50000.0,50267.0
Yamaha FZ16,27000,2011,Individual,1st owner,67000.0,78712.0
Bajaj Boxer,10000,2000,Individual,1st owner,30000.0,
Hero Honda Hunk,56000,2015,Individual,1st owner,48000.0,
Hero Honda Hunk,58000,2015,Individual,1st owner,48000.0,
Bajaj Avenger Cruise 220,87000,2018,Individual,1st owner,8000.0,
Yamaha Ray Z,35000,2015,Individual,1st owner,15500.0,52949.0
Bajaj Pulsar 180,35000,2012,Individual,1st owner,45000.0,85011.0
Bajaj Discover 150F,40000,2014,Individual,2nd owner,60855.0,64071.0
Bajaj Pulsar 135 LS,56000,2017,Individual,3rd owner,37714.0,64589.0
Bajaj Pulsar 180,30000,2008,Individual,2nd owner,60000.0,85011.0
Honda Activa 125 [2016-2017],40000,2017,Individual,1st owner,26000.0,61545.0
Hero HF Deluxe,60000,2019,Individual,1st owner,6000.0,
Hero Karizma 2014,40000,2013,Individual,1st owner,30000.0,86744.0
Bajaj Platina 100,40000,2018,Individual,1st owner,17000.0,
Royal Enfield Bullet 500,130000,2015,Individual,1st owner,34601.0,168482.0
Bajaj Pulsar AS200,45000,2015,Individual,1st owner,48000.0,92074.0
Yamaha FZ S [2012-2016],42000,2013,Individual,1st owner,60000.0,79432.0
Bajaj Pulsar 220 Fi,25000,2012,Individual,1st owner,44000.0,
Bajaj Pulsar 150,15000,2006,Individual,1st owner,55000.0,
Bajaj Dominar 400 [2018],170000,2018,Individual,1st owner,16000.0,163331.0
Hero Passion X Pro [2016-2017],38000,2016,Individual,2nd owner,20000.0,59095.0
Yamaha FZ S V 2.0,60000,2015,Individual,2nd owner,17500.0,84042.0
TVS Apache RTR 160,65000,2017,Individual,1st owner,46000.0,
Bajaj Avenger [2015],35000,2011,Individual,1st owner,30000.0,75502.0
Bajaj Pulsar 150,70000,2019,Individual,1st owner,6500.0,
Hero Honda Glamour,15000,2006,Individual,1st owner,80000.0,
Hero Splendor iSmart,50000,2017,Individual,2nd owner,10000.0,52271.0
Royal Enfield Classic 350,145000,2017,Individual,1st owner,2200.0,
Yamaha FZ16,25000,2008,Individual,1st owner,40000.0,78712.0
Hero Xtreme Sports,58000,2016,Individual,1st owner,21000.0,80350.0
Royal Enfield Bullet 350 [2007-2011],90000,2007,Individual,1st owner,3500.0,
Hero Honda Passion,9000,2002,Individual,2nd owner,66191.0,
Bajaj Discover 150S,40000,2014,Individual,1st owner,50000.0,63331.0
TVS Scooty Zest 110,28000,2015,Individual,1st owner,32800.0,52372.0
Bajaj Avenger Street 150 [2018],50000,2016,Individual,1st owner,32000.0,80435.0
Yamaha Cygnus Ray ZR,56000,2019,Individual,1st owner,3900.0,58630.0
Honda Activa [2000-2015],35000,2014,Individual,1st owner,10000.0,50267.0
Honda Shine,30000,2010,Individual,1st owner,46782.0,
Honda CB Hornet 160R,95000,2019,Individual,1st owner,8000.0,94703.0
Honda Activa i [2016-2017],40000,2017,Individual,1st owner,11000.0,53436.0
Hero Karizma 2014,30000,2014,Individual,2nd owner,51000.0,86744.0
Bajaj Discover 100 T,18000,2013,Individual,1st owner,45000.0,47032.0
Honda Aviator,14000,2008,Individual,1st owner,66000.0,59183.0
Hero Splendor Plus,17000,2010,Individual,2nd owner,50000.0,
Royal Enfield Thunderbird 350,125000,2017,Individual,1st owner,23500.0,
Bajaj CT 110,20000,2015,Individual,1st owner,25000.0,
Hero Passion PRO i3s,50000,2017,Individual,1st owner,41000.0,56925.0
KTM RC 390,210000,2017,Individual,1st owner,12000.0,
Bajaj Pulsar 220F,70000,2018,Individual,1st owner,33000.0,
Hero Maestro Edge,40000,2017,Individual,1st owner,15000.0,55980.0
Bajaj Xcd,10000,2008,Individual,1st owner,50000.0,
Bajaj Pulsar 150,35000,2010,Individual,1st owner,40000.0,
TVS Centra,10000,2005,Individual,1st owner,50000.0,
Honda Activa 3G,42000,2015,Individual,1st owner,20000.0,54605.0
Yamaha FZ16,20000,2009,Individual,1st owner,50000.0,78712.0
Hero Maestro Edge,25000,2017,Individual,1st owner,55000.0,52790.0
Bajaj Discover 125,25000,2016,Individual,1st owner,70350.0,60122.0
Royal Enfield Thunderbird 350X,145000,2019,Individual,1st owner,2700.0,164004.0
Hero Super Splendor,50000,2016,Individual,1st owner,20000.0,
TVS Scooty Pep Plus,30000,2011,Individual,1st owner,20000.0,
Yamaha FZ V 2.0,60000,2014,Individual,1st owner,41311.0,81508.0
Hero Honda Splendor Plus,15000,2005,Individual,1st owner,65000.0,
Hero CD Deluxe,15000,2014,Individual,2nd owner,34000.0,
Hero Honda Passion PRO [2012],25000,2011,Individual,1st owner,20000.0,
Hero HF Deluxe i3s,54000,2019,Individual,1st owner,11000.0,
Bajaj Xcd,25000,2007,Individual,1st owner,75000.0,
Royal Enfield Interceptor 650,260000,2019,Individual,1st owner,1200.0,
Honda CBR-250R,100000,2014,Individual,1st owner,19000.0,199275.0
Bajaj Kristal,15000,2007,Individual,1st owner,30000.0,
Hero Honda Splendor Plus,20000,2006,Individual,1st owner,23000.0,
Honda Dream Yuga,35000,2014,Individual,1st owner,10000.0,56147.0
Yamaha FZ S V 2.0,50000,2016,Individual,1st owner,40000.0,87042.0
Hero Xpulse 200,90000,2019,Individual,1st owner,8600.0,107500.0
Bajaj V15,40000,2016,Individual,1st owner,45000.0,67187.0
Bajaj Avenger Street 220,80000,2016,Individual,1st owner,7200.0,95955.0
Bajaj Discover 135,20000,2010,Individual,1st owner,31195.0,
Honda CB Unicorn 150,70000,2017,Individual,1st owner,18000.0,74295.0
Vespa SXL 149,98000,2019,Individual,1st owner,1000.0,
Royal Enfield Machismo,75000,2008,Individual,2nd owner,17000.0,
Honda CB Shine SP,50000,2016,Individual,1st owner,46000.0,67214.0
Honda CB Unicorn 150,40000,2014,Individual,1st owner,77592.0,74295.0
Honda CB Unicorn 150,75000,2013,Individual,1st owner,54000.0,74295.0
Honda CB Unicorn 150,50000,2013,Individual,1st owner,17000.0,74295.0
Bajaj Pulsar 150,60000,2014,Individual,1st owner,60000.0,
TVS Apache RTR 160,50000,2016,Individual,1st owner,40000.0,
Honda Dio,35000,2014,Individual,1st owner,25000.0,
Royal Enfield Thunderbird 350,160000,2018,Individual,1st owner,19000.0,
Hero Maestro,25000,2015,Individual,2nd owner,40000.0,49412.0
Hero Honda CBZ extreme,42000,2010,Individual,1st owner,51000.0,
Bajaj Dominar 400,200000,2019,Individual,1st owner,7600.0,
Honda Activa 125,40000,2014,Individual,1st owner,14965.0,
Royal Enfield Classic Desert Storm,130000,2015,Individual,2nd owner,25000.0,181445.0
KTM 250 Duke,195000,2019,Individual,1st owner,6000.0,
KTM RC 390,270000,2019,Individual,1st owner,2380.0,
Kawasaki Ninja 650 [2018-2019],425000,2017,Individual,2nd owner,13600.0,599000.0
TVS Apache RTR 200 4V,85000,2018,Individual,1st owner,10000.0,
Kawasaki Ninja 250R,125000,2010,Individual,2nd owner,21000.0,317934.0
TVS Wego,45000,2018,Individual,1st owner,10000.0,54760.0
Honda CBR-250R,85000,2014,Individual,2nd owner,18600.0,171646.0
Bajaj Pulsar NS200,85000,2018,Individual,1st owner,7750.0,
Suzuki GSX S750,760000,2019,Individual,1st owner,2800.0,752020.0
Royal Enfield Thunderbird 350,100000,2015,Individual,1st owner,30000.0,
Royal Enfield Classic 350,95000,2015,Individual,1st owner,9800.0,
Honda CB Shine SP,48000,2015,Individual,1st owner,25000.0,67469.0
Bajaj Avenger Street 150 [2018],40000,2016,Individual,1st owner,29689.0,80435.0
Honda CBF Stunner,37000,2014,Individual,1st owner,43000.0,58757.0
Bajaj Avenger [2015],38000,2014,Individual,2nd owner,28243.0,75502.0
Suzuki Gixxer [2014-2018],55000,2015,Individual,1st owner,25000.0,78316.0
Suzuki Access 125,45000,2017,Individual,1st owner,22300.0,
TVS Scooty Streak,18000,2009,Individual,2nd owner,33595.0,44140.0
Royal Enfield Thunderbird 350X,140000,2018,Individual,1st owner,5505.0,
Yamaha Rx,70000,2000,Individual,3rd owner,5000.0,
Hero Honda Splendor Plus,15000,2007,Individual,1st owner,30000.0,
Bajaj Pulsar 125,65000,2019,Individual,1st owner,16000.0,
Honda Activa 5G,42000,2018,Individual,1st owner,22000.0,57557.0
Yamaha Fazer Dlx,58000,2012,Individual,1st owner,40000.0,
Harley-Davidson Street 750,330000,2014,Individual,4th owner,6500.0,534000.0
Hero Xtreme 2014,35000,2013,Individual,1st owner,15000.0,72973.0
Royal Enfield Classic 350,162000,2018,Individual,1st owner,17365.0,
Hero Honda Hunk,28000,2009,Individual,1st owner,40000.0,
Royal Enfield Interceptor 650,285000,2019,Individual,1st owner,5500.0,
Royal Enfield Classic 350,125000,2017,Individual,1st owner,33900.0,
Bajaj Pulsar 150 [2001-2011],15000,2005,Individual,1st owner,47670.0,
Honda Activa [2000-2015],29500,2013,Individual,1st owner,45000.0,50267.0
TVS Apache RR310,200000,2019,Individual,1st owner,5000.0,
Jawa Standard,160000,2019,Individual,1st owner,5700.0,
Hero Honda Splendor PRO,30000,2012,Individual,1st owner,22866.0,
Yamaha FZ25,110000,2019,Individual,1st owner,10000.0,133680.0
Bajaj Pulsar 220F,70000,2016,Individual,1st owner,31000.0,
Yamaha Fascino 110,69000,2019,Individual,1st owner,1600.0,57112.0
Yamaha FZ16,30000,2011,Individual,1st owner,44000.0,78712.0
Yamaha FZ16,30000,2010,Individual,1st owner,70000.0,78712.0
TVS Star City Plus,42000,2017,Individual,1st owner,21000.0,
Royal Enfield Classic 350,160000,2018,Individual,1st owner,17365.0,
Bajaj Pulsar 135 LS,20000,2010,Individual,1st owner,80000.0,64589.0
Suzuki Access 125,45000,2017,Individual,1st owner,15000.0,
Bajaj Pulsar 135 LS,23000,2010,Individual,1st owner,77000.0,64589.0
UM Renegade Commando,140000,2017,Individual,2nd owner,40000.0,180525.0
Hero Honda Splendor Plus,12000,2005,Individual,1st owner,48000.0,
Hero Passion PRO i3s,50000,2017,Individual,1st owner,18000.0,56925.0
Royal Enfield Classic 350,140000,2018,Individual,1st owner,20000.0,
Honda Activa 5G,55000,2019,Individual,1st owner,9000.0,59422.0
Yamaha Fascino 110,45000,2016,Individual,1st owner,56000.0,54500.0
Hero Splendor Plus,25000,2012,Individual,1st owner,50000.0,
Royal Enfield Thunderbird 350,90000,2014,Individual,1st owner,12000.0,
Yamaha YZF R15 V3,120000,2018,Individual,1st owner,11500.0,
KTM RC 200,120000,2015,Individual,1st owner,20000.0,
TVS Radeon,35000,2017,Individual,1st owner,20000.0,66492.0
Hero HF Deluxe,35000,2017,Individual,1st owner,27000.0,
BMW G310GS,300000,2018,Individual,1st owner,2500.0,349000.0
Royal Enfield Thunderbird 350,87000,2012,Individual,1st owner,20477.0,
Hero Honda Splendor Plus,18000,2010,Individual,1st owner,35700.0,
Yamaha FZ S V 2.0,50000,2014,Individual,1st owner,70000.0,84042.0
Bajaj Avenger Street 220,60000,2016,Individual,1st owner,29000.0,95955.0
Hero Honda Splendor Plus,15000,2004,Individual,1st owner,14500.0,
Bajaj Platina 100,30000,2018,Individual,1st owner,37000.0,
Royal Enfield Thunderbird 350X,160000,2018,Individual,1st owner,3246.0,
Honda CB Unicorn 150,50000,2016,Individual,1st owner,27000.0,74295.0
Suzuki Gixxer [2014-2018],62000,2017,Individual,1st owner,15000.0,78316.0
Bajaj Platina 100,45000,2019,Individual,1st owner,15000.0,
Royal Enfield Thunderbird 350,120000,2017,Individual,1st owner,4050.0,
Royal Enfield Thunderbird 500,125000,2014,Individual,1st owner,25000.0,190874.0
Bajaj Pulsar AS150,50000,2015,Individual,1st owner,5000.0,80821.0
Bajaj Pulsar 150,30000,2012,Individual,2nd owner,5000.0,
Hero Pleasure,40000,2014,Individual,1st owner,14000.0,51600.0
Honda Aviator,41000,2013,Individual,1st owner,36500.0,63537.0
Royal Enfield Thunderbird 350,120000,2017,Individual,2nd owner,9000.0,
Hero Ignitor,35000,2014,Individual,1st owner,33200.0,67722.0
Hero Honda CD100SS,10000,1997,Individual,1st owner,646000.0,
TVS Apache RTR 160,35000,2011,Individual,1st owner,25000.0,
Hero Achiever 150,38000,2017,Individual,1st owner,26000.0,69750.0
Vespa LX 125,50000,2015,Individual,1st owner,3909.0,77900.0
Honda Activa 3G,40000,2015,Individual,1st owner,7672.0,54605.0
Hero Splendor Plus i3s,70000,2019,Individual,1st owner,3000.0,55600.0
Royal Enfield Classic 350,140000,2016,Individual,1st owner,3654.0,
Hero Maestro,26500,2016,Individual,2nd owner,40000.0,53830.0
Hero Glamour 125,38000,2016,Dealer,1st owner,5500.0,61600.0
Yamaha FZ16,60000,2016,Individual,1st owner,29950.0,78712.0
Royal Enfield Himalayan,145000,2017,Individual,1st owner,14000.0,
Yamaha FZ S V 2.0,78000,2017,Individual,1st owner,26100.0,84480.0
Hero Maestro Edge,58000,2018,Individual,1st owner,6000.0,54580.0
Yamaha FZ25,130000,2017,Individual,1st owner,4000.0,132680.0
TVS Victor,20000,2001,Individual,1st owner,50000.0,54852.0
Bajaj Dominar 400 [2018],150000,2018,Individual,1st owner,5475.0,163331.0
Bajaj Pulsar 180,32000,2012,Individual,1st owner,40000.0,85011.0
Bajaj Pulsar 180,50000,2017,Individual,1st owner,20500.0,85011.0
KTM 200 Duke,120000,2017,Individual,1st owner,4100.0,
Bajaj Avenger Street 150 [2018],60000,2016,Individual,2nd owner,23097.0,80435.0
Bajaj Discover 100 M,20000,2011,Individual,1st owner,37734.0,44756.0
Royal Enfield Bullet 350 [2007-2011],65000,2011,Individual,2nd owner,65000.0,
Yamaha YZF R15 S,70000,2016,Individual,1st owner,8000.0,117926.0
Yamaha FZ V 2.0,35000,2014,Individual,1st owner,13500.0,81508.0
Bajaj Avenger Street 220,95000,2018,Individual,1st owner,23000.0,95955.0
Bajaj Pulsar 150,8000,2005,Individual,1st owner,58000.0,
